,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
104,954,2,9589.495808722282,4,1,1,1,1,0.5121721419393853,11268.248669056053,21.36290050213191,0.2833664961848462,0.6405985019715117,0.0
105,848,1,7165.6876190870125,1,1,1,1,1,0.5999999999732041,11265.984210625345,29.138129259581593,0.2834199048446741,0.6357414735417894,0.0
106,114,0,12747.426460105935,5,1,0,1,1,0.5999999999735216,11222.804423193058,42.74760889050977,0.2843753068738219,0.5790587471594505,4.0
107,23,1,12773.925117942146,4,1,1,0,1,0.5999999999738274,11228.751385933954,38.26332977785175,0.2841676032026805,0.5941577679443842,0.0
108,666,0,12916.656979625035,4,0,0,1,1,0.5999996141836009,11216.95876362981,43.731164164773894,0.2844660581642146,0.5760641309030679,4.0
109,984,2,9280.960510327546,1,0,1,1,0,0.5999991309970016,11098.329345460847,59.37005038315156,0.28606181120992935,0.5480943162353115,7.0
110,494,2,12824.705239251472,3,2,1,1,1,0.5999970005754098,11204.77651423509,42.69443321438844,0.2845660328129902,0.5790096008435035,4.0
111,492,1,9210.643269500577,1,0,1,1,1,0.5941973625429439,11268.455376102898,27.790003501914466,0.2833615579948939,0.6410570989141948,0.0
112,75,0,6479.033069626794,1,1,0,1,1,0.5999999999822444,11114.334556162286,57.31696729088101,0.2858658823433497,0.5510196197963143,7.0
113,836,0,9949.304470686871,4,1,1,1,1,0.5999999999999349,11243.778557043042,35.021949102489934,0.2838899220334698,0.6072080894905989,0.0
114,670,1,12224.243049568431,1,1,1,0,1,0.5999981318262103,11183.203409555028,46.146394495733325,0.2848908332901345,0.5690173405330636,5.0
115,739,2,9412.01005410076,1,0,1,1,1,0.5999999999200144,11002.251037995165,66.09485531742857,0.28714571323442417,0.5427553549038409,7.0
116,943,2,13648.694370710238,4,0,1,1,1,0.5999999999987721,11266.539301921279,28.966258888104896,0.2834069272106474,0.6369045815440918,0.0
117,677,2,9854.921111754158,4,1,1,1,1,0.5999999683157337,11283.75811379608,22.084234527413543,0.2829517724481065,0.6965586232863289,0.0
118,73,2,7978.430303148077,2,1,0,1,1,0.599999235763263,11231.567520855404,41.20353403889743,0.284234887426181,0.5840174879472467,3.0
119,999,1,12811.125502418554,4,1,0,1,1,0.5999355896292955,11143.268220614631,54.02546232539758,0.2854951288160711,0.55500142922855,6.0
120,996,1,8641.620017228142,2,1,1,1,1,0.5997370355321225,11120.421437739391,54.45758269431011,0.28574696564567614,0.5540434197676849,6.0
121,837,1,11112.172427822417,0,1,1,1,1,0.5999394039903253,11251.864795877436,33.06017998141549,0.2837284807259797,0.6160543089079245,0.0
122,723,2,12830.529949568701,4,2,0,1,1,0.5999999999984894,11299.966903683704,23.07689988485912,0.28281410796632356,0.6850031640173977,0.0
123,509,2,4014.660781624659,0,1,1,1,1,0.5928546563341349,11255.87715077848,31.29707519266901,0.28364460019554705,0.621005481617739,0.0
124,647,0,9922.67805725224,4,1,1,1,1,0.5999994036865479,11269.764476927343,27.93441460804318,0.2833300298991485,0.6440240481379,0.0
125,833,1,6999.276516244899,2,1,1,2,1,0.5999999978387573,11261.4831589373,30.47693107562024,0.2835225652247618,0.6286763065811871,0.0
126,631,1,13053.709080582714,1,1,1,1,1,0.5999991311582238,11256.062246596775,31.976433882309742,0.28364069339131076,0.6212470423876136,0.0
127,701,1,11958.939571780365,2,1,1,1,1,0.5999999999999999,11260.350041944605,30.79984260071704,0.283547729581046,0.6270491351847262,0.0
128,463,2,8450.408983742152,2,1,0,1,1,0.5999995967179989,11042.951849513953,64.29855333614496,0.2867055699260222,0.5442850152919371,7.0
129,60,1,8167.876332865841,4,2,1,1,1,0.5206849513658006,11259.940459479962,24.195545424637903,0.2835567620464422,0.6264710484634705,0.0
130,409,1,12206.709372957463,4,1,1,1,1,0.5999998871224114,11160.824309502575,49.343967910632905,0.28520309707652985,0.5610031862140116,6.0
131,290,0,12392.902581819593,1,1,1,2,1,0.5900129374250109,11180.697643194422,45.45375766056519,0.28492692225174204,0.5680175658778279,5.0
132,465,0,10563.363104158336,5,1,0,1,1,0.5999998240334086,11226.43953153898,42.11776245268571,0.2843177259218625,0.5810428203906258,4.0
133,121,1,11829.978516587156,2,0,1,1,1,0.5999999999999722,11282.252185481502,23.074636315492278,0.2830004837858484,0.6848019639939027,0.0
134,930,1,11925.319388479895,5,1,1,1,1,0.5635327677600721,11279.109487780946,21.429468605697465,0.2830905212509054,0.6704116797330378,0.0
135,823,2,11704.798885270407,1,1,0,1,1,0.5999999994755663,11058.178799480429,62.918228901487225,0.2865352691116203,0.5454276021758436,7.0
136,683,2,8740.32447702485,1,1,0,1,0,0.5999999999999991,11313.064326153346,23.152425642466195,0.28268515878631106,0.6844122178770213,0.0
137,804,1,4625.669934014347,2,1,0,1,1,0.5999999997427301,11257.428282287203,36.020765586002625,0.28378215955149855,0.6031444855229158,0.0
138,457,0,5204.949517020531,2,0,1,2,1,0.5984265947638856,11125.556209981341,53.712769452780165,0.2856820225907491,0.555078660136203,6.0
139,21,1,13070.206409265831,4,1,1,1,1,0.5999999999886494,11188.023275198391,45.410690058309896,0.28482052722578177,0.5710249859324416,5.0
140,407,2,9985.402726317667,5,2,1,1,1,0.5999655374659264,11210.214327479222,41.749173663586866,0.284479600224031,0.58200099501942,3.0
141,320,2,8722.90486742453,4,1,1,1,1,0.5999999999830866,11278.718887623882,24.695926475571476,0.28310111512695624,0.6690635546712002,0.0
142,116,1,8656.322963850873,2,0,1,1,1,0.5919937711114962,11245.564940742015,33.77283071130233,0.2838550742795776,0.6090462295536921,0.0
143,977,0,5701.432879684624,1,1,1,2,1,0.5999973794342481,11237.389206824058,36.454602501633595,0.2840111784545174,0.601155075821267,0.0
144,12,1,7129.605146308566,4,1,1,1,1,0.5999999999737129,11256.938519264415,31.74155461136978,0.28362197403576467,0.6223893640651588,0.0
145,63,0,8147.514377217273,4,1,1,1,1,0.5999999999999993,11224.439455197782,39.1184769496697,0.28424284202519284,0.5910175791119513,0.0
146,393,1,12929.618935102348,5,1,0,1,1,0.5999999999908089,11148.045151949107,53.457804869144425,0.2854341667912464,0.5560025772993709,6.0
147,558,0,11900.274878350676,2,1,1,1,0,0.5997559891667701,11303.1914103177,22.405862792192316,0.28276760441985715,0.6931290842981568,0.0
148,521,0,12796.204233222556,1,1,1,1,1,0.5999999472559511,11270.785952499804,27.59493573246986,0.2833051159758809,0.6464178272094764,0.0
149,161,1,11260.754347902795,2,1,0,0,1,0.5999999998674221,11289.334075214629,27.345310937864166,0.2830987379850359,0.6484059558486457,0.0
150,482,0,11837.907257541521,2,1,1,1,1,0.5988493151334616,11223.162660828388,39.24154517510508,0.28426478761630175,0.5901277750546525,0.0
151,399,1,9879.173400249503,5,0,0,1,1,0.5999961859019513,11294.60357119884,25.432862802451705,0.2829639397805508,0.663076439273554,0.0
152,92,0,11755.38259239132,1,1,0,1,1,0.5999999999967591,11210.599240465937,44.763535664272666,0.28456239143276907,0.5730534346428082,5.0
153,900,1,13258.70481594661,1,1,0,1,1,0.5999999999999973,11237.99217956994,40.01195048832838,0.28412822139040256,0.5880683069914543,1.0
154,407,0,4490.429498907525,1,1,0,1,1,0.5999999978143677,11233.366977397773,40.87526245403076,0.2842053469143824,0.585113878156346,3.0
155,379,1,7914.783425253799,0,0,1,1,1,0.5999996634204364,11185.882470628152,45.7397910529447,0.2848518559902177,0.570117078503191,5.0
156,961,2,7121.093644126033,4,1,1,1,1,0.5999999824901062,11172.752939435195,47.68188233754995,0.28503938189727906,0.5650297602610206,6.0
157,506,1,7267.692642751648,4,1,0,1,1,0.5999999999918426,11102.257255507735,58.600211068071026,0.2860113416991081,0.5492130905638041,7.0
158,207,0,5181.939117502909,2,1,0,1,1,0.5999999998817531,11288.459125004432,27.64295588237313,0.28312032108835117,0.6462707663164702,0.0
159,359,1,7033.995193221665,4,1,1,1,1,0.5999999997311933,11282.88239385068,22.69392700476987,0.28298075959584934,0.6891959798444847,0.0
160,2,0,9751.536086578688,4,1,1,1,1,0.5999999999999993,11268.681894007872,28.287393380988675,0.2833561341110212,0.6415626929811843,0.0
161,985,1,13179.858021539258,2,1,0,2,1,0.5999999985421371,11239.481364639423,39.727764562530204,0.28410300606485045,0.5890638905703989,1.0
162,826,2,12220.417715629437,4,1,1,1,1,0.5760283610578131,11270.349776040055,25.51361830754899,0.2833157886159592,0.6453866926854886,0.0
163,643,1,13060.026537214093,2,1,0,0,1,0.5999999998824903,11286.334338286908,28.34560855735568,0.2831718728164373,0.6413544978847182,0.0
164,980,1,11630.55538822636,1,1,1,1,1,0.5999999999990998,11272.225416015453,27.105029437069554,0.28326952234185976,0.650002876195384,0.0
165,960,1,8400.526170165625,4,2,1,1,1,0.5999999999999791,11259.160250389405,31.133320152866837,0.28357387643446774,0.6253842813117295,0.0
166,614,1,9427.840122434356,2,0,0,2,1,0.5957922388074368,11193.442446255907,46.92155164734251,0.28481135477965935,0.5660023521466141,6.0
167,210,2,10214.428112530686,2,1,0,1,0,0.6,11098.167321716139,60.5938422254853,0.2860736054761764,0.5470160168408795,7.0
168,207,0,9128.651748124068,2,1,1,1,1,0.5956968481110947,11270.696951658736,27.204285065591513,0.2833072978902681,0.6462061709444681,0.0
169,842,2,11137.973605398995,2,1,1,2,1,0.5600809391599939,11228.564210541244,34.38223739212205,0.2841709064527971,0.5940169331880844,0.0
170,823,2,12570.253999546021,2,1,1,1,1,0.5999999999992396,11038.934848146866,62.876360650890305,0.28674083001447204,0.54533443219793,7.0
171,857,2,11838.456245807456,2,1,0,1,1,0.599998950920854,11025.79185751751,65.79426369927143,0.28689367649894315,0.5431089176327869,7.0
172,966,2,11235.766933533467,4,1,1,1,1,0.5833826814526747,11283.964974397692,20.518884156054277,0.28294460696258833,0.6985139873341475,0.0
173,359,1,12663.050541457264,5,2,0,1,0,0.599999999670598,11312.821407528563,23.304186380006936,0.2826927771597143,0.68261376795017,0.0
174,381,1,7748.563285785034,0,1,0,1,1,0.5999999759989906,11203.81414438257,45.825410581549306,0.2846626024519874,0.57009078884346,5.0
175,376,0,12939.69917916681,4,2,1,1,1,0.5999999999931174,11220.065151824474,39.957384048789116,0.2843174265083128,0.58804005399263,1.0
176,115,2,6561.720393197305,4,1,1,1,0,0.5999999991866376,11018.316494210241,66.73945275043725,0.28697402596436244,0.5422758066947931,7.0
177,734,1,13436.811595679095,1,1,1,1,1,0.5999999999999978,11275.034518791887,26.10652606835851,0.28319832827930025,0.6575877415335484,0.0
178,944,0,11515.802219634885,1,1,1,1,1,0.5695134489920279,11234.89624901716,33.950310393530785,0.28405715786512564,0.5990299732861838,0.0
